p1_name,p2_name,chem_logit_mean,chem_logit_sd
Michael Loyd,Pesa Teoni,0.0014,0.0499
Kristopher Heddings,Dave Weinbach,0.0058,0.0506
Bobbi Oshiro,Wyatt Stone,0.0097,0.0489
Christine Trifunovic,Marshall Brown,0.0056,0.05
Mari Humberg,Jorja Johnson,0.0087,0.0469
Joel Cassens,Mota Alhouni,-0.0027,0.0484
Warren Tamanaha,Yaamunan Venkatesan,-0.014,0.0513
Liz Truluck,Wesley Burrows,-0.0006,0.0518
Jalina Ingram,Melissa Ferger,-0.0021,0.0517
Rafa Hewett,Tyra Hurricane Black,-0.0004,0.0485
Tam Trinh,Luke Wasson,-0.0061,0.0476
Phillip Locklear,Steve Deakin,-0.0063,0.0462
Ryan Sherry,Ava Ignatowich,0.0057,0.0487
Ivan Jakovljevic,Brandon French,-0.0031,0.0463
Mohaned Alhouni,Sammy Lee,0.013,0.0497
Clayton Powell,Tyler Hong,0.0149,0.0501
Gabriel Joseph,Jericho Grollman,-0.0066,0.0485
Milan Rane,Patrick Smith,0.0001,0.0492
Genie Erokhina,Sarah Ansboury,0.002,0.0513
Gregory Dow,Anderson Scarpa,-0.0079,0.045
Callan Dawson,Dominique Schaefer,-0.0018,0.046
Gabriel Joseph,Camila Zilveti,0.007,0.0453
Jade Kawamoto,Federico Staksrud,0.0034,0.0503
Spencer Smith,Olivia McMillan,0.0096,0.0486
Quang Duong,Tyler Loong,-0.0026,0.0521
Tamaryn Emmrich,Olivia McMillan,-0.0126,0.0497
Zane Navratil,Allison Phillips,0.0004,0.0493
Darrian Young,Connor Garnett,0.0066,0.0461
Megan Fudge,Allyce Jones,-0.003,0.0473
Jessie Irvine,Tina Pisnik,0.0114,0.0453
Parris Todd,Tyra Hurricane Black,0.0334,0.0447
Julian Arnold,Jack Munro,0.0037,0.0506
Spencer Smith,Wyatt Stone,0.0005,0.0506
Rafa Hewett,Todd Fought,-0.0045,0.0503
Christian Alshon,Jessie Irvine,0.0029,0.049
Zane Navratil,Christian Alshon,0.0023,0.0498
Irina Tereschenko,Lacy Schneemann,0.0044,0.0479
AJ Koller,Travis Rettenmaier,-0.0072,0.0467
Vivienne David,Anna Bright,-0.0049,0.0491
Lea Jansen,Lauren Stratman,-0.0058,0.048
Joel Cassens,Jose Gomez,0.0023,0.0501
Lawrence Kasay,David Dutrieuille,-0.0081,0.0515
Holden Ross,Alex Unger,-0.0012,0.051
Cameron Drummond,Jacob Rude,-0.0048,0.0488
Brenton Brakke,Bryant Brakke,-0.009,0.0545
Jordan Bridge,Andrew Anh Pham,0.0081,0.0526
David Zumwalt,Zach Gonnering,-0.0072,0.0512
Beau Martin,Daniel Howard,0.0072,0.0446
Marquis Christenson,Sandeep Sharma,-0.0057,0.0503
Maximo Agoglia,Hao Nguyen,0.0011,0.05
Gorka Sanchez,Alex Lantz,0.0024,0.0474
Jordan Betts,Chase Blocker,-0.0039,0.05
Emir Hamzic,Matthew Krakowski,0.0037,0.0487
John Macauley,Matt Haugdahl,0.0072,0.0492
Kevin Daniel,Varun Iyer,-0.0026,0.049
Thomas Bruchu,Bennett Sell,-0.004,0.0489
Jeremy Thompson,Alex Grausnick,-0.003,0.0495
