uuid,name,gender,n_high,n_low,serve_regular,return_regular,serve_big,return_big,regular,big,lift,lift_se,z,skill_adj,lift_rank,skill_adj_rank,lift_halfA,lift_halfB
f78254c2-5dbe-4ccd-85d2-bf5538cb179c,Komal Safdar,F,592,1211,-0.1571,-0.1464,-0.0853,-0.1984,-0.3034,-0.2838,0.0197,0.1914,0.1,0.1067,314,227,-0.0964,0.2162
0d23964f-d43f-4006-b1e0-13001393216c,Ross Whittaker,M,1914,3947,-0.1075,0.0753,0.0888,-0.1019,-0.0323,-0.0131,0.0192,0.1145,0.17,-0.1045,315,534,0.0427,-0.0791
33dbfc0d-f246-40da-a277-74c31f2662ae,Ryan Ng,M,161,309,0.0388,-0.1439,-0.0205,-0.0673,-0.1051,-0.0878,0.0173,0.3527,0.05,0.4792,316,24,0.0,-0.004
649a30be-e691-4be4-8677-b9a55699f2b8,Ivy Tschetter,F,277,589,-0.2226,-0.0392,-0.0886,-0.1566,-0.2617,-0.2451,0.0166,0.2442,0.07,0.1825,317,162,0.0377,-0.0176
d8610fd6-1ab3-409a-bea3-d7f7b87d7ee0,Shea Donahue,F,703,1477,-0.0776,-0.0758,-0.0163,-0.1228,-0.1534,-0.1391,0.0142,0.1787,0.08,0.148,318,193,0.1188,0.0046
a6f57d71-bf90-48fc-b05b-abe66980a132,Mike Radermacher,M,916,1810,-0.0359,0.02,0.0204,-0.0224,-0.0159,-0.002,0.0139,0.1938,0.07,-0.0024,319,382,0.1181,-0.1793
ba70f3a5-4693-4aa8-a8cc-1b5c0544b75a,Nicholas Romano,M,927,1751,-0.0536,-0.0815,-0.1789,0.0572,-0.1351,-0.1217,0.0134,0.181,0.07,0.0131,320,356,0.1362,-0.0952
577d1124-44c9-435d-88e9-01a146f2d177,Eugenia Carolina Lopez Ascarate,F,214,472,0.0461,0.1323,0.1707,0.0207,0.1784,0.1914,0.013,0.2428,0.05,-0.3036,321,735,-0.043,-0.0359
b40f1add-dfc3-446d-9c65-b1ab7bec6194,Victor Camilo Iii,M,193,365,-0.0607,0.0402,-0.0165,0.0084,-0.0205,-0.0081,0.0124,0.3327,0.04,0.3027,322,77,0.1099,-0.1147
b35ed876-bcdc-4024-9746-fe1bcb3957f5,John Cincola,M,1931,3701,0.0393,-0.0085,0.0323,0.0089,0.0309,0.0413,0.0104,0.1149,0.09,-0.0514,323,456,0.0276,-0.1167
8dd7bb87-1082-4114-809e-888ac57df014,Chase Mason,M,338,702,-0.2908,-0.0392,-0.1284,-0.1925,-0.3301,-0.3209,0.0091,0.2431,0.04,0.302,324,78,0.4274,-0.2883
11e203e1-6239-4f00-aaf9-752aae883120,Rodrigo Reyes,M,308,706,-0.04,-0.0687,-0.1539,0.0539,-0.1087,-0.1,0.0087,0.2235,0.04,0.2225,325,127,-0.0331,0.0918
